game_id,race,type
G01,Vuil'raith Cabal,banned
G01,Yssaril Tribes,banned
G01,Crimson,banned
G01,Mahact Gene-Sorcerers,banned
G01,Emirates of Hacan,banned
G01,The Last Bastion,not_picked
G02,Council Keleres,banned
G02,Yssaril Tribes,banned
G02,Deepwrought Scholarate,banned
G02,Ghosts of Creuss,banned
G02,Firmament,banned
G02,Mentak Coalition,not_picked
G03,Argent Flight,banned
G03,Mentak Coalition,banned
G03,Yssaril Tribes,banned
G03,Deepwrought Scholarate,banned
G03,Crimson,banned
G03,Mahact Gene-Sorcerers,banned
G03,Naaz-Rokha Alliance,banned
G03,L1Z1X Mindnet,not_picked
G04,Winnu,banned
G04,Yssaril Tribes,banned
G04,Deepwrought Scholarate,banned
G04,Crimson,banned
G04,Naaz-Rokha Alliance,banned
G04,Mentak Coalition,banned
G04,Empyrean,not_picked
G05,Yssaril Tribes,banned
G05,Deepwrought Scholarate,banned
G05,Crimson,banned
G05,Clan of Saar,banned
G05,Mentak Coalition,banned
G05,Universities of Jol-Nar,banned
G05,Winnu,not_picked
G06,Naalu Collective,banned
G06,Yssaril Tribes,banned
G06,Deepwrought Scholarate,banned
G06,Crimson,banned
G06,Emirates of Hacan,banned
G06,Clan of Saar,banned
G06,Argent Flight,not_picked
G07,Yssaril Tribes,banned
G07,Deepwrought Scholarate,banned
G07,Crimson,banned
G07,Mahact Gene-Sorcerers,banned
G07,Mentak Coalition,banned
G07,Nekro Virus,not_picked
G08,Yssaril Tribes,banned
G08,Deepwrought Scholarate,banned
G08,Vuil'raith Cabal,banned
G08,Naaz-Rokha Alliance,banned
G08,Mahact Gene-Sorcerers,banned
G08,Embers of Muaat,banned
G08,The Last Bastion,not_picked
G09,Vuil'raith Cabal,banned
G09,Yssaril Tribes,banned
G09,Deepwrought Scholarate,banned
G09,Crimson,banned
G09,Mahact Gene-Sorcerers,banned
G09,Emirates of Hacan,banned
G09,Clan of Saar,banned
G09,Naalu Collective,banned
G09,Naaz-Rokha Alliance,banned
G09,L1Z1X Mindnet,not_picked
G09,Sardakk N'orr,not_picked
G10,L1Z1X Mindnet,banned
G10,Yssaril Tribes,banned
G10,Deepwrought Scholarate,banned
G10,Crimson,banned
G10,Mahact Gene-Sorcerers,banned
G10,Emirates of Hacan,banned
G10,Sardakk N'orr,not_picked
G11,Mentak Coalition,banned
G11,Yssaril Tribes,banned
G11,Deepwrought Scholarate,banned
G11,Crimson,banned
G11,Mahact Gene-Sorcerers,banned
G11,Nomad,not_picked
G12,Vuil'raith Cabal,banned
G12,Yssaril Tribes,banned
G12,Deepwrought Scholarate,banned
G12,Crimson,banned
G12,Clan of Saar,banned
G12,Nomad,not_picked
G13,Naaz-Rokha Alliance,banned
G13,Yssaril Tribes,banned
G13,Deepwrought Scholarate,banned
G13,Crimson,banned
G13,Vuil'raith Cabal,banned
G14,Vuil'raith Cabal,banned
G14,Yssaril Tribes,banned
G14,Deepwrought Scholarate,banned
G14,Crimson,banned
G14,Mahact Gene-Sorcerers,banned
G14,Council Keleres,banned
G14,Clan of Saar,banned
G14,L1Z1X Mindnet,not_picked
G14,Argent Flight,not_picked
G15,Yssaril Tribes,banned
G15,Deepwrought Scholarate,banned
G15,Crimson,banned
G15,Vuil'raith Cabal,banned
G15,Mahact Gene-Sorcerers,banned
G15,Mentak Coalition,banned
G16,Yssaril Tribes,banned
G16,Deepwrought Scholarate,banned
G16,Vuil'raith Cabal,banned
G16,Naalu Collective,banned
G16,Clan of Saar,banned